trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,0,-62.48309327372964,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.95, 'e': 0.9025}",20,0,-38.7075137093142,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",25,0,-85.63821546565308,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",25,0,-124.44682495380992,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",25,0,-73.90108407586067,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-66.92997948703092,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",25,16,-38.190640176529,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",25,9,-36.011670694511835,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",25,0,-35.335250256187315,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",30,18,23.2625406730931,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",30,9,25.228163646064278,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",25,8,0.08377578926300844,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,13,6.756185033176371,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",25,12,-1.9939790052009616,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",25,8,19.50646725713758,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
