trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.92616936318359,"{0: 15, 1: 8, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.92020203610255,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.83062240045066,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.50175253756743,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,7,-196.48985576078329,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,4,-43.49322322824891,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.64644718920965,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.78842462882551,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.4065360065559,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.91917718931396,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.98535190426531,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.05604132765808,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.91867015060106,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.83666360925681,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.27313099274446,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.19987900184641,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.86507615571539,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.29180667790922,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.45356406454176,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-157.86404327294565,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-127.80207527073055,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.58758392168976,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.405865041350125,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.67340732695544,"{0: 14, 1: 2, 2: 10, 3: 3, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.09094889150995,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.27043998529756,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,9,-3.645704924191567,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,1,-106.80748492055888,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.18605657033608,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,2,-80.92801898486967,"{0: 17, 1: 8, 2: 2, 3: 0, 4: 1}",1
